Number,StreetAddress,City,State,StateFull,TelephoneNumber,TropicalZodiac,CCNumber,FulColor,Occupation,Company,Centimeters,Kilograms
1635,1544 Joanne Lane,Marlboro,MA,Massachusetts,978-424-7014,Aquarius,4929499901706535,black,Social work assistant,Advansed Teksyztems,170,97.7
1636,1520 White River Way,Salt Lake City,UT,Utah,801-514-3310,Capricorn,5112187274234284,white,Sports competitor,Universal Design Partners,158,59.7
1637,4456 Douglas Dairy Road,Mouth Of Wilson,VA,Virginia,276-579-2420,Scorpio,4539452246786292,white,Respiratory nurse,Micro Design,167,87.6
1638,374 Cemetery Street,Seaside,CA,California,831-899-3830,Gemini,4485825756562381,dark skinned,Surveillance agent,Stop and Shop,157,80.2
1639,4961 Ritter Avenue,Detroit,MI,Michigan,586-801-2661,Taurus,4556596904790869,white,Bill and account collector,Rink's,160,60.1
1640,1159 Pine Tree Lane,Washington,MD,Maryland,240-364-7605,Scorpio,4532758976580433,black,Electrical power line repairer,Reliable Guidance,182,108.6
1641,2709 Stadium Drive,Mansfield,MA,Massachusetts,508-304-4327,Taurus,4539362816157156,black,Coil taper,Oranges Records & Tapes,179,70.2
1642,381 Wayback Lane,New York,NY,New York,631-381-7724,Cancer,4916406717570869,black,Courier,Express Merchant Service,177,91.7
1643,1771 Canis Heights Drive,Los Angeles,CA,California,213-615-6152,Cancer,5126841725080035,black,Television camera operator,Eisner Food Stores,160,53.8
1644,2201 Small Street,New York,NY,New York,212-820-2367,Leo,5302433906086993,black,Mail processor,Good Times,182,64.9
1645,1654 Mount Street,Sterling,MI,Michigan,989-654-1652,Gemini,4556636868879918,black,DJ,Peter Reeves,168,81.1
1646,2474 Elliott Street,Manchester,NH,New Hampshire,603-647-1616,Libra,5543474014771349,black,Reactor operator,Afforda,170,93
1647,3644 Progress Way,Mount Vernon,IA,Iowa,319-895-1103,Cancer,4916019979721904,black,Food cooking machine operator,Magna Consulting,174,113.4
1648,2000 West Virginia Avenue,Glens Falls,NY,New York,518-926-7965,Gemini,4539014317202573,dark skinned,Air traffic controller,Capitalcorp,157,76.3
1649,424 Terra Street,Anacortes,WA,Washington,360-299-5742,Pisces,5351834246030445,black,Information processing worker,Packer,172,110.2
1650,827 Flynn Street,Vermilion,OH,Ohio,440-967-7881,Cancer,4916082231970958,black,Staff development director,World of Fun,182,99.5
1651,79 Reynolds Alley,Pomona,CA,California,562-267-0977,Aquarius,5519647100689869,black,Metal pourer,Noodle Kidoodle,167,99.4
1652,722 Cessna Drive,Kendallville,IN,Indiana,260-347-2524,Cancer,5314015090816438,black,Teller,Seamans Furniture,186,86.1
1653,3229 Michael Street,Sugar Land,TX,Texas,713-760-7526,Leo,5.56138E+15,black,Laundry and dry-cleaning worker,Showbiz Pizza Place,169,84.8
1654,2419 Upland Avenue,Sherwood,OH,Ohio,419-899-5602,Aquarius,4556904208532278,black,Border Patrol agent,Tower Records,158,84.6
1655,3186 Oakway Lane,Santa Monica,CA,California,818-302-1089,Capricorn,4929098337295764,dark skinned,Public safety dispatcher,China Coast,159,88.2
1656,3335 Pineview Drive,Marshall,MN,Minnesota,507-829-6640,Capricorn,5590294857433829,dark skinned,Hazardous materials removal worker,Superior Interactive,159,65.7
1657,3388 Elkview Drive,Miami,FL,Florida,772-408-9837,Leo,4539307618141262,black,Courier,York Steak House,181,90.9
1658,38 Jewell Road,Prior Lake,MN,Minnesota,612-746-5549,Taurus,5395436926730548,black,Instructional materials director,Monmax,180,67.8
1659,4378 Sherwood Circle,Lafayette,LA,Louisiana,337-289-0579,Aquarius,4532817190227534,black,Employee benefits specialist,Earthworks Garden Kare,175,90.2
1660,177 Masonic Drive,Lavina,MT,Montana,406-636-1333,Virgo,5362578597936265,black,Bulldozer operator,Just For Feet,172,92.3
1661,1502 Briarhill Lane,Akron,OH,Ohio,330-310-8576,Gemini,5163914354125357,black,Product designer,Omni Source,189,63.8
1662,4023 Riverwood Drive,Sacramento,CA,California,530-409-2601,Cancer,5270428857986033,white,Courtesy van driver,Brand Names,168,78
1663,388 Daffodil Lane,Arlington,VA,Virginia,703-510-2011,Capricorn,5.35089E+15,black,Medical transcriptionist,Big Daddy's Restaurants,180,84.3
1664,3965 Lamberts Branch Road,Miami,FL,Florida,786-684-1051,Sagittarius,5175877745539667,dark skinned,Surgical nurse,Kenny Rogers Roasters,160,98.1
1665,2826 Meadow Drive,Oklahoma City,OK,Oklahoma,405-943-0402,Taurus,5337357357565651,white,Rural mail carrier,National Record Mart,159,101.6
1666,4038 Lilac Lane,Macon,GA,Georgia,912-401-2783,Pisces,4485594747814232,dark skinned,Payroll assistant,Magna Consulting,180,62.5
1667,2512 Grey Fox Farm Road,Houston,TX,Texas,281-762-3409,Taurus,5208008979505916,dark skinned,Bailiff,Eagle Hardware & Garden,164,64.2
1668,4214 Bingamon Branch Road,Poughkeepsie,NY,New York,845-981-6915,Aquarius,5567407047155685,white,Multiple machine tool setter,L' Fish,162,72.9
1669,3914 Mulberry Avenue,Little Rock,AR,Arkansas,501-401-7455,Taurus,5210193386062739,dark skinned,Human resources analyst,Corpbay,157,73.9
1670,4838 Clement Street,Atlanta,GA,Georgia,404-439-0084,Virgo,5486798045345098,black,Telephone line installer,LaBelle's,178,76.7
1671,3148 Pallet Street,New York,NY,New York,914-363-4725,Taurus,5261709655804044,black,Transcriber,Food Barn,168,92.7
1672,3011 Geraldine Lane,New York,NY,New York,646-337-3827,Virgo,5366224973093886,black,Surveyor,Omni Source,182,100
1673,2106 Mattson Street,Portland,OR,Oregon,503-404-2115,Scorpio,5358567901762026,white,Groundskeeping worker,Singer Lumber,165,96.7
1674,3883 Timber Oak Drive,Santa Maria,CA,California,805-922-3971,Capricorn,4916911320440574,black,Police dispatcher,J. Riggings,174,74.2
1675,297 Crosswind Drive,Bowling Green,KY,Kentucky,270-896-4130,Aries,5568588103789613,black,"Food and tobacco roasting, baking, and drying machine operator",J. Riggings,176,84
1676,4205 Hillcrest Avenue,Needham,MA,Massachusetts,781-885-3718,Pisces,4556589388908719,white,Computer support specialist,Sound Warehouse,169,68.8
1677,4821 Doe Meadow Drive,Silver Spring,MD,Maryland,301-563-2249,Leo,4539109333885441,black,Metal-refining furnace operator,Holly Tree Inn,186,80.1
1678,2069 McKinley Avenue,Westminster,CO,Colorado,303-819-1574,Virgo,5482851508423482,dark skinned,Customs agent,Record Town,174,64.2
1679,1632 Henery Street,Wichita,KS,Kansas,316-804-0235,Sagittarius,4539171014583992,dark skinned,Blankbook binding worker,Mostow Co.,159,91.5
1680,2224 Thompson Street,Los Angeles,CA,California,562-684-3455,Leo,5520886933712061,white,Order processor,Chess King,160,92.1
1681,2236 Dane Street,Oxford,MA,Massachusetts,508-987-7985,Aries,4532870887256589,black,"Crushing, grinding, and polishing machine setter",Courtesy Hardware Store,181,100.8
1682,2866 Abner Road,Rhinelander,WI,Wisconsin,715-365-2725,Sagittarius,4485301201988217,black,Purchasing agent,Intelacard,168,77.1
1683,232 Timbercrest Road,Klawock,AK,Alaska,907-755-5129,Sagittarius,4929944566800222,black,Parts salesperson,Quality Realty Service,178,101.3
1684,4315 D Street,Utica,MI,Michigan,586-323-7675,Virgo,4485104006199646,dark skinned,Abdominal sonographer,Nickerson Farms,158,86.6
1685,468 John Avenue,Lansing,MI,Michigan,517-898-2000,Virgo,4539288708993566,black,Infusion nurse,Blue Boar Cafeterias,169,109.6
1686,1151 Rowes Lane,Owensboro,KY,Kentucky,270-685-4141,Capricorn,5472060612257602,black,Social work planner,Merry-Go-Round,170,97.5
1687,3976 Mount Street,Saginaw,MI,Michigan,989-620-5015,Aries,5284262440224881,black,Administrative office specialist,Las Vegas Yard Management,154,84.9
1688,3946 Ritter Avenue,Romeo,MI,Michigan,586-752-3494,Aries,5.432E+15,dark skinned,Assignment clerk,Skaggs-Alpha Beta,176,75.1
1689,3194 Foley Street,Miami,FL,Florida,954-648-6253,Aquarius,4716112617215546,black,Private investigator,Body Fate,180,109.9
1690,3952 Moonlight Drive,Pennsauken,NJ,New Jersey,609-672-3377,Pisces,4716392898070188,black,Construction and maintenance painter,Buehler Foods,178,101.6
1691,2603 Brooke Street,Houston,TX,Texas,713-664-3275,Capricorn,4929083755694268,black,Correctional treatment specialist,Almacs,165,91
1692,2500 Brannon Street,Los Angeles,CA,California,213-306-2283,Virgo,5307344148009443,white,Job printer,Earthworks Garden Kare,170,53.8
1693,4352 Jessie Street,Quaker City,OH,Ohio,740-679-7392,Sagittarius,5374491128777677,white,Social scientist,A.J. August Fashion Wear,164,67.9
1694,1182 Eagle Lane,Duluth,MN,Minnesota,218-788-6497,Leo,4556531350225938,black,Information designer,Food Giant,170,100.7
1695,158 Oak Avenue,Libertyville,IL,Illinois,847-968-9217,Scorpio,4716980490984531,dark skinned,Bookkeeper,Reliable Garden Management,160,67.2
1696,4394 Farm Meadow Drive,Nashville,TN,Tennessee,931-224-9225,Taurus,5261833775728337,black,Water transportation pilot,Thriftway Food Mart,171,70.8
1697,3239 Peck Court,Bellflower,CA,California,949-545-6080,Taurus,4.53976E+15,dark skinned,Cementing and gluing machine tender,Bumper to Bumper Auto Parts,181,69.9
1698,920 Sycamore Lake Road,Green Bay,WI,Wisconsin,920-433-9663,Aries,5209022109869604,black,Loss prevention agent,Specialty Restaurant Group,158,64.8
1699,293 Long Street,Ocala,FL,Florida,352-250-9665,Sagittarius,4556707860142157,black,Hotel desk clerk,Payless Cashways,176,80.2
1700,2307 Rowes Lane,Paducah,KY,Kentucky,270-582-9841,Cancer,4532906028107776,dark skinned,Short haul or local truck driver,Destiny Planners,170,73.1
1701,4679 Arbutus Drive,Miramar,FL,Florida,305-924-1074,Scorpio,4539533629988868,black,Soil conservationist,Zantigo,171,84.8
1702,2592 Walton Street,Provo,UT,Utah,801-372-3266,Scorpio,5317727090717112,black,Music conductor,Gamma Realty,170,97.9
1703,2044 Meadow View Drive,Hartford,CT,Connecticut,860-507-0140,Leo,4539455436971327,black,Mining and geological engineer,Holly Tree Inn,179,85.2
1704,2244 Leverton Cove Road,Lee,MA,Massachusetts,413-394-9433,Pisces,4539220683582601,black,Image designer,Standard Sales,167,95.2
1705,1493 Maxwell Street,Bloomfield,CT,Connecticut,860-768-1007,Gemini,5.27972E+15,dark skinned,Counter and rental clerk,You Are Successful,160,86
1706,4036 Wilkinson Court,Fort Myers,FL,Florida,239-537-1332,Virgo,5420063618754542,white,Order clerk,Johnson's General Stores,170,107.8
1707,530 Timber Ridge Road,Sacramento,CA,California,916-751-6975,Gemini,5172626830888155,black,General and operations manager,Erlebacher's,190,107.2
1708,458 Hinkle Deegan Lake Road,Dundee,NY,New York,607-243-2413,Scorpio,4556527587412109,black,Building manager,Payless Cashways,167,88.9
1709,4098 Scenic Way,Fairmount,IL,Illinois,217-733-0687,Pisces,4916816728707146,dark skinned,Echocardiographer,Larry's Markets,187,115.1
1710,3903 Hope Street,Portland,OR,Oregon,971-228-0543,Virgo,4556079727744272,dark skinned,Textile machine operator,J. Riggings,165,75.4
1711,3392 Walnut Street,Buckatunna,MS,Mississippi,601-648-5968,Sagittarius,4485951260267414,dark skinned,Loading machine operator,Star Bright Investment Group,155,92.2
1712,4539 Chicago Avenue,Reedley,CA,California,559-643-9942,Libra,5313555721881625,black,Construction equipment technician,Awthentikz,163,97.9
1713,2883 Queens Lane,Emporia,VA,Virginia,434-634-0412,Gemini,5511983784971945,dark skinned,Cardiopulmonary technologist,Compact Disc Center,158,71.9
1714,1352 Calico Drive,Wilbur,WA,Washington,509-647-5935,Gemini,5387555320395366,white,Clinical nurse specialist,Montana's Cookhouse,164,83.9
1715,2227 Echo Lane,Grand Rapids,MI,Michigan,269-946-2791,Sagittarius,4916044585868923,black,Commercial pilot,Official All Star Café,179,97.2
1716,2173 Cedarstone Drive,Galion,OH,Ohio,419-468-8046,Scorpio,4716900019493095,dark skinned,U.S. marshal,Great Clothes,167,80.9
1717,3967 Coleman Avenue,Victorville,CA,California,760-843-5419,Capricorn,5.56715E+15,dark skinned,PBX operator,Johnson's General Stores,164,66
1718,4319 Fairfax Drive,Bayville,NJ,New Jersey,908-910-9012,Sagittarius,5275750331445392,black,Technical communications specialist,Adaptabiz,161,66.6
1719,2937 Oakway Lane,Los Angeles,CA,California,818-284-4945,Libra,4716778473889838,black,Power plant dispatcher,Herman's World of Sporting Goods,159,66.6
1720,2189 Corpening Drive,Southfield,MI,Michigan,248-365-6777,Virgo,5263252470529585,dark skinned,Industrial economist,Adaptaz,167,100.5
1721,1311 Edington Drive,Smyrna,GA,Georgia,678-830-6320,Gemini,4485872827720507,black,Composing machine tender,House of Gas,167,80.2
1722,4805 Lost Creek Road,Philadelphia,PA,Pennsylvania,610-977-2630,Cancer,5103194980587501,black,Career-technical teacher,Waccamaw Pottery,173,95.9
1723,3023 Kelley Road,Gulfport,MS,Mississippi,228-395-5204,Pisces,5499584142769983,black,Graphic designer,Yesterday's Records,161,50.7
1724,1791 Jessie Street,Coolville,OH,Ohio,740-667-7273,Virgo,4539038345587424,black,Silvering applicator,Body Fate,171,60.9
1725,3537 Prospect Valley Road,Irvine,CA,California,310-901-6996,Pisces,4539885459381444,dark skinned,Claims representative,MVP Sports,171,82.1
1726,4111 Little Acres Lane,Clinton,IL,Illinois,217-935-1302,Leo,4716855404675476,dark skinned,Weigher,Strength Gurus,188,113.4
1727,4305 Whaley Lane,New Berlin,WI,Wisconsin,262-442-6896,Aquarius,5317842397758576,dark skinned,Administrative support specialist,First Choice Yard Help,173,72.3
1728,1086 Paul Wayne Haggerty Road,New Orleans,LA,Louisiana,504-394-8188,Pisces,5.34225E+15,black,Electromechanical equipment assembler,Netstars Matrix Design,158,73
1729,3376 Bird Street,Roswell,NM,New Mexico,505-625-3449,Taurus,4539918233281612,black,Product promoter,Team Uno,176,81.2
1730,1631 Jewell Road,Minneapolis,MN,Minnesota,612-607-9118,Leo,4929465417074023,black,Employee relations manager,Wetson's,181,106.8
1731,2075 Turkey Pen Road,New York,NY,New York,917-229-2788,Gemini,5271601859356038,dark skinned,Copy editor,Lechmere,157,81.3
1732,2383 Jones Avenue,East Bend,NC,North Carolina,336-699-4072,Gemini,4532332111484768,black,Metalworking machine operator,Fireball,175,55.8
1733,1870 Walton Street,Salt Lake City,UT,Utah,801-386-0532,Aries,5136409339018672,black,Mariner,Laura Ashley Mother & Child,187,110.8
1734,1394 Coal Road,Dallas,PA,Pennsylvania,570-674-2928,Sagittarius,4.91638E+15,black,Accounts payable clerk,Mr. Clark's Appliances,159,63.6
1735,582 Barfield Lane,Indianapolis,IN,Indiana,317-579-0880,Virgo,4916507021865661,black,Emergency medical technician,Back To Basics Chiropractic Clinic,187,97.9
1736,246 Lochmere Lane,Hartford,CT,Connecticut,860-451-2712,Capricorn,4916485778221877,black,Structural metal fabricator,Vitamax Health Food Center,181,104.9
1737,881 Hillcrest Avenue,Quincy,MA,Massachusetts,781-846-9303,Leo,4485530849198074,black,Paleomagnetist,Mr. D's IGA,173,94.3
1738,379 Fairmont Avenue,Marceline,MO,Missouri,660-376-4451,Cancer,5488291168744212,black,Political scientist,Liberty Wealth Planners,182,90.8
1739,1620 Gandy Street,Kirkwood,MO,Missouri,314-984-8585,Capricorn,4716474699548842,white,Physician,Best Biz Survis,167,102.9
1740,341 Braxton Street,Bourbonnais,IL,Illinois,815-549-1423,Virgo,5339533185795904,black,Assistant editor,Monmax,155,103
1741,536 Carter Street,Maryland Heights,IL,Illinois,618-719-1240,Cancer,5300451833941686,black,Pipe organ repairer,Beefsteak Charlie's,188,64.9
1742,3203 Glenwood Avenue,Cleveland,OH,Ohio,216-272-3299,Pisces,5.26473E+15,dark skinned,Dietetic technician,Bennett Brothers,166,71.7
1743,1492 Providence Lane,La Puente,CA,California,626-854-0224,Pisces,5324029534657579,white,Private banker,EnviroSource Design,159,74.7
1744,2888 Duff Avenue,Proctor,VT,Vermont,802-459-1928,Sagittarius,4556857134651184,white,Tower controller,Steinberg's,154,73.2
1745,4364 Moonlight Drive,Maple Shade,NJ,New Jersey,609-658-4827,Pisces,4539357927773313,black,Caster,Standard Sales,171,96.1
1746,4402 Flint Street,Tumon,MP,,670-868-0110,Leo,4929772616681973,black,Art director,Hit or Miss,169,101
1747,81 Hillside Street,Tempe,AZ,Arizona,480-458-1205,Cancer,4532006617272915,dark skinned,Electronic drafter,Stratapro,183,110.1
1748,4678 Byers Lane,Yreka,CA,California,530-842-9541,Libra,5577110165896274,black,Ceramic engineer,The White Rabbit,178,81.9
1749,4455 Smith Road,Marietta,GA,Georgia,770-956-1316,Virgo,4532013469358065,black,Health inspector,Sound Warehouse,183,96.8
1750,4492 Giraffe Hill Drive,Dallas,TX,Texas,972-236-9637,Sagittarius,4929480098880408,black,Merchant marine sailor,Independent Wealth Management,183,113.1
1751,3210 McDonald Avenue,Altamonte Springs,FL,Florida,407-834-2042,Pisces,5493861310707375,dark skinned,Analytical chemist,New World Realty,161,54.2
1752,1737 Lang Avenue,Enterprise,UT,Utah,435-878-0246,Scorpio,4916043181613592,black,Lathe and turning machine tool tender,Big Wheel,169,64.9
1753,4400 Polk Street,Tucson,AZ,Arizona,520-807-2489,Taurus,4485137997004268,black,Family practitioner,Creative Wealth,170,83.1
1754,1686 Valley Drive,Eagleville,PA,Pennsylvania,267-334-9696,Libra,5208280169945687,black,Physicist,The Serendipity Dip,164,88.6
1755,1017 Ridge Road,Udall,KS,Kansas,620-782-6955,Taurus,4485846368743516,black,Forest fire inspector,Jeans Unlimited,182,77.5
1756,4371 Simons Hollow Road,Harrisburg,PA,Pennsylvania,570-843-2558,Capricorn,5398771304909141,black,Executive administrative assistant,Henry's Hamburgers,182,77.3
1757,2082 Cross Street,Saginaw,MI,Michigan,989-942-5911,Leo,5428237073938947,black,In home service professional,Manning's Cafeterias,165,74.1
1758,4240 Jim Rosa Lane,Dublin,CA,California,415-760-0461,Cancer,4716514456410015,black,Mariner,Rack N Sack,177,81.3
1759,3656 Garfield Road,Peoria,IL,Illinois,309-657-1932,Virgo,4.48573E+15,black,Consultant dietitian,Warner Brothers Studio Store,163,68.6
1760,2619 Snyder Avenue,Charlotte,NC,North Carolina,704-653-1467,Sagittarius,4.48534E+15,black,Scraper operator,Desert Garden Help,174,70.4
1761,4318 Richison Drive,Drummond,MT,Montana,406-288-6803,Aquarius,4532294979968128,white,Coach,Dee's Drive-In,178,62.8
1762,2477 Emerson Road,Monroe,LA,Louisiana,318-816-8618,Gemini,4485900467400823,black,Petroleum technician,Sunburst Garden Management,183,64.4
1763,3120 Ash Avenue,Saint Louis,MO,Missouri,314-846-7735,Libra,5375099562582575,dark skinned,Tumor registrar,Steak and Ale,174,64.2
1764,908 Roosevelt Road,Wichita,KS,Kansas,620-307-2384,Leo,5458935145381094,black,Telephone station installer,Liberal,179,63.1
1765,3716 Cedarstone Drive,Toledo,OH,Ohio,419-486-9871,Scorpio,5313604192157048,black,Digital electronic prepress worker,Electronics Source,161,93.9
1766,330 Central Avenue,Jersey City,NJ,New Jersey,201-370-0851,Pisces,5131709758872656,black,Clinical laboratory technician,Life's Gold,172,107.9
1767,4200 Coleman Avenue,Palm Springs,CA,California,760-799-2532,Leo,5290161040130443,dark skinned,Harbor pilot,Rhodes Furniture,160,63.4
1768,4570 Rainy Day Drive,Boston,MA,Massachusetts,617-933-0973,Aries,4916282976361484,white,Agricultural and food scientist,HouseWorks!,173,77.1
1769,4708 Woodridge Lane,Memphis,TN,Tennessee,901-270-7064,Pisces,4916742674784857,black,Disc jockey,Monk Home Loans,180,92.1
1770,1703 Coolidge Street,Maitland,FL,Florida,407-210-3038,Aries,4929242993861788,black,Materials engineer,Dream Home Improvements,180,62.9
1771,3424 Irving Road,Worthington,OH,Ohio,740-471-8860,Scorpio,5545720198558185,black,Stereotyper,Wilson's Jewelers,170,100.8
1772,4585 Elliot Avenue,Seattle,WA,Washington,206-623-8068,Sagittarius,4532820272244476,black,Product designer,John Plain,174,108
1773,3220 Carriage Lane,Bloomsburg,PA,Pennsylvania,570-274-0144,Taurus,5.31422E+15,black,Portfolio manager,Paul's Record Hut,177,73.5
1774,3060 Williams Mine Road,Savoonga,AK,Alaska,907-984-1747,Sagittarius,5253991093031592,white,Occupational analyst,J. K. Gill Company,164,58.6
1775,962 Saint Marys Avenue,Little Falls,NY,New York,315-823-1812,Virgo,4.92936E+15,white,Pedicurist,Asian Junction,182,66.1
1776,796 Locust Street,Albany,GA,Georgia,229-669-0758,Gemini,4556150627685152,white,Counter clerk,Lechters Housewares,167,54.4
1777,1360 Hershell Hollow Road,Dunlap,TN,Tennessee,423-949-4230,Scorpio,5308932471598559,black,Community health educator,Channel Home Centers,172,95.6
1778,3499 Deer Ridge Drive,Haledon,NJ,New Jersey,973-595-4443,Libra,5281906185383038,white,Payroll and timekeeping clerk,Simple Solutions,161,54.3
1779,3288 Murphy Court,Riverside,CA,California,951-827-8499,Aquarius,5542349945379035,black,Coil finisher,Enrich Garden Services,170,72.5
1780,3084 Twin Willow Lane,Fayetteville,NC,North Carolina,910-423-4510,Scorpio,4.53238E+15,dark skinned,Talking-books clerk,Gov Mart,163,97.2
1781,3550 Birch Street,Noblesville,IN,Indiana,317-776-8017,Capricorn,4.55619E+15,black,Organizational development consultant,Our Own Hardware,158,71.7
1782,3144 Shinn Avenue,Crafton,PA,Pennsylvania,724-554-3304,Taurus,5102827984328437,black,Mortgage loan officer,New World Realty,167,74.6
1783,278 Crowfield Road,Gilbert,AZ,Arizona,602-799-0649,Taurus,5531162911946403,dark skinned,Ironworker,Northern Star,175,103.1
1784,3290 Cherry Tree Drive,Jacksonville,FL,Florida,904-327-1499,Scorpio,5408040837500514,black,Newsletter writer,Gamble-Skogmo,168,98.2
1785,429 Franklin Avenue,Daytona Beach,FL,Florida,386-250-0958,Aquarius,4929136440598029,black,Sociocultural anthropologist,Anderson-Little,163,49.5
1786,23 Bombardier Way,Detroit,MI,Michigan,734-985-4710,Capricorn,5140933998202354,black,Mail handler,GEX,186,112.9
1787,202 Willis Avenue,Port Orange,FL,Florida,386-304-9739,Scorpio,4929428616813526,black,Fitness worker,The Spotted Cougar,185,93.2
1788,1840 Spring Avenue,Fort Washington,PA,Pennsylvania,267-661-9378,Cancer,5101494259190405,dark skinned,Tree pruner,Cut Rite,173,75.3
1789,174 Williams Lane,Wichita,KS,Kansas,316-617-1393,Libra,4916614565638437,black,Instructional designer,Atlas Realty,169,98
1790,789 Custer Street,Bedford,PA,Pennsylvania,814-977-6156,Leo,4532274680616141,dark skinned,Linemen,Warshal's,174,86.8
1791,1469 Sand Fork Road,Deer Creek,IN,Indiana,574-859-4499,Taurus,5599309585431241,white,Lease operator,Discount Furniture Showcase,159,90.8
1792,2240 Stoney Lonesome Road,Scranton,PA,Pennsylvania,570-346-5324,Scorpio,5472463922088586,black,Assembler,Ole's,161,59.1
1793,2932 Badger Pond Lane,Tampa,FL,Florida,727-331-1067,Libra,5104939762222803,black,Letterpress operator,G.I. Joe's,166,86.6
1794,4322 Hickory Street,Salt Lake City,UT,Utah,801-781-8937,Sagittarius,5243471877551555,black,Chemical equipment operator,Integra Design,166,69.3
1795,4756 Patterson Street,Houston,TX,Texas,713-317-8423,Cancer,4539969559767296,dark skinned,Foundry mold and coremaker,Just For Feet,157,84.8
1796,289 Ferguson Street,Fall River,MA,Massachusetts,508-491-0983,Pisces,4916253779612803,white,Telecommunications equipment installer,Ardan's,159,69.3
1797,1698 Beech Street,Pleasanton,CA,California,925-824-2495,Libra,5587915594444407,black,Executive assistant,Lone Wolf Wealth Planning,182,81.4
1798,4379 Monroe Avenue,Bradenton,FL,Florida,941-742-7296,Libra,5226145633200852,black,Sprinklerfitter,Krauses Sofa Factory,182,66.7
1799,4753 Ryder Avenue,Kent,WA,Washington,425-293-0990,Libra,4716502634320453,black,Airport tower controller,Carl Durfees,169,77.8
1800,4652 Elliot Avenue,Seattle,WA,Washington,206-608-2631,Sagittarius,5.41385E+15,black,Employment clerk,Mikrotechnic,189,68.3
1801,3006 Pinewood Drive,Roselle,IL,Illinois,847-891-2975,Aquarius,4916736787771579,dark skinned,Data processing equipment repairer,County Seat,152,71.5
1802,4781 Poplar Lane,Pompano Beach,FL,Florida,305-522-8866,Gemini,5529163389714368,black,Electric line worker,Rack N Sack,170,111.3
1803,4108 Sunset Drive,Jonesboro,AR,Arkansas,870-635-1395,Cancer,4716003920078517,black,Court reporter,Sam Goody,151,89.7
1804,791 Spring Avenue,Norristown,PA,Pennsylvania,267-653-4254,Leo,4716178512840183,black,Coil winder,Forum Cafeterias,182,102.3
1805,1755 Oak Street,Rome,NY,New York,315-338-3423,Cancer,5220865979589537,black,Ornamental ironworker,Road Runner Lawn Services,172,71.4
1806,3546 Straford Park,Hyden,KY,Kentucky,606-672-8827,Virgo,5478893662445741,dark skinned,Mathematician,Unity Stationers,170,82
1807,4669 Browning Lane,Madison,WI,Wisconsin,608-222-7951,Virgo,5304801813985275,black,Purchasing clerk,Kessel Food Market,173,79.8
1808,3711 Green Hill Road,Bentonville,AR,Arkansas,479-271-1090,Pisces,5273374223502145,black,Geologist,Frame Scene,169,60.8
1809,2516 Boone Street,Corpus Christi,TX,Texas,361-237-6873,Cancer,5439358932001672,white,Neuropsychologist,Vitagee,182,70.4
1810,2049 Drummond Street,Secaucus,NJ,New Jersey,973-221-8020,Sagittarius,5360672944913804,white,Fabric mender,Rogers Food Stores,181,94.6
1811,4871 Jail Drive,Kewanee,IL,Illinois,309-856-0455,Virgo,4716523455984532,black,Orthopedic nurse,Sam Goody,152,76.2
1812,2459 Findley Avenue,Cooperstown,ND,North Dakota,701-797-6796,Scorpio,5541768152396393,black,Dental medicine doctor,AJ Bayless,178,94
1813,921 Roguski Road,Monroe,LA,Louisiana,318-340-6624,Pisces,5152484354603947,white,Marble setter,Zephyr Investments,160,79.7
1814,758 Adamsville Road,Mission,TX,Texas,956-580-8309,Gemini,5259118168766563,dark skinned,Assistant principal,Oshman's,163,64.2
1815,4033 Cottonwood Lane,Grand Rapids,MI,Michigan,616-234-5232,Aquarius,4539782403368314,white,Foreign language interpreter,Hills Supermarkets,173,100.7
1816,1124 Coulter Lane,Richmond,VA,Virginia,804-327-5082,Aquarius,5395460058354752,black,Speech therapist,HouseWorks!,180,68.1
1817,3886 Coleman Avenue,El Cajon,CA,California,760-798-0886,Sagittarius,5.5719E+15,black,LAN administrator,Handy City,160,56.1
1818,4092 Grove Street,East Northport,NY,New York,631-754-7329,Leo,5489774094019873,white,Heavy-duty truck mechanic,Ulbrich's,169,97.7
1819,1735 Diamond Cove,Ashton,RI,Rhode Island,401-333-0222,Aquarius,4539480482159379,black,Childcare worker,Fretter,180,80.4
1820,2834 Oliverio Drive,Big Bow,KS,Kansas,620-495-3839,Capricorn,4716992194491481,white,Environmental hydrologist,Hanover Shoe,161,86
1821,4564 Echo Lane,Benton Harbor,MI,Michigan,269-939-1695,Gemini,5235721023676478,white,Ski patrol,Matrix Design,170,103.4
1822,4690 Whiteman Street,Maple Shade,NJ,New Jersey,609-923-1296,Scorpio,4532489941432456,dark skinned,Bicycle repairer,Mr. AG's,157,67.9
1823,1130 Rebecca Street,Rolling Meadows,IL,Illinois,847-749-9439,Virgo,4716400501363062,dark skinned,Handymen,Honest Air Group,163,81.8
1824,3017 Kelly Drive,Maybeury,WV,West Virginia,304-827-4505,Leo,5212191153563895,black,Video camera operator,Forest City,154,88.8
1825,1380 Jarvisville Road,Manhattan,NY,New York,516-948-8615,Taurus,4485711148763954,black,Office administrative assistant,Martin's,181,95.7
1826,2668 Straford Park,Chapman,KY,Kentucky,606-673-7522,Gemini,5139471665651341,dark skinned,Refuge manager,Twin Food Stores,167,94.2
1827,1903 Daffodil Lane,Reston,VA,Virginia,703-476-3786,Cancer,4539161155150644,white,Ski patrol,Acuserv,157,64.1
